outcome,month,mmwr_week,age_group,vaccine_product,boosted_with_outcome,boosted_population,primary_series_only_with_outcome,primary_series_only_population,unvaccinated_with_outcome,unvaccinated_population,crude_booster_ir,crude_primary_series_only_ir,crude_unvax_ir,crude_booster_irr,crude_irr,age_adj_booster_ir,age_adj_vax_ir,age_adj_unvax_ir,age_adj_booster_irr,age_adj_irr,continuity_correction
death,MAR 2022,202213,all_ages,Pfizer,59,33677619,54,41742188,217,40442063.7,0.175190532,0.129365523,0.536570046,3.062779931,4.14770514,0.102421154,0.15369778,0.933466996,9.114005885,6.073392825,0
death,APR 2022,202214,12-17,all_types,0,2274034,0,7366781,0,6262096,0,0,0,,,,,,,,0
death,APR 2022,202214,18-49,all_types,3,23521806,5,38154787,15,24595814.55,0.0127541,0.0131045,0.060986,4.781668432,4.653814606,,,,,,1
death,APR 2022,202214,50-64,all_types,15,16936103,9,15675073,44,6359925.6,0.088568191,0.057416,0.691831993,7.811291922,12.049463318,,,,,,1
death,APR 2022,202214,65+,all_types,118,19990712,86,10903594,148,3079074.55,0.590274123,0.788730762,4.80663906,8.143062469,6.094144281,,,,,,1
death,APR 2022,202214,all_ages,all_types,136,62722655,100,72100235,207,40296910.699999996,0.216827556,0.138695803,0.513687021,2.369103954,3.703695491,0.113280678,0.138119808,0.893014937,7.883206132,6.465509557,0
death,APR 2022,202214,all_ages,Janssen,8,3745913,16,6893783,207,40296910.699999996,0.213566092,0.232093177,0.513687021,2.405283611,2.213279282,0.161223152,0.263438566,0.893014937,5.53899936,3.389841326,0
death,APR 2022,202214,all_ages,Moderna,67,25020203,44,23551322,207,40296910.699999996,0.267783599,0.18682603,0.513687021,1.918291573,2.749547371,0.122752842,0.136810758,0.893014937,7.274902306,6.52737367,0
death,APR 2022,202214,all_ages,Pfizer,61,33899394,40,41611890,207,40296910.699999996,0.17994422,0.096126372,0.513687021,2.854701427,5.34387195,0.100053303,0.118979153,0.893014937,8.925391872,7.505642059,0
death,APR 2022,202215,12-17,all_types,0,2311996,0,7348595,1,6249645,0,0,0.0160009,,,,,,,,0
death,APR 2022,202215,18-49,all_types,4,23684615,5,38063924,21,24514056.55,0.0168886,0.0131358,0.085665136,5.072364441,6.521502489,,,,,,1
death,APR 2022,202215,50-64,all_types,16,17038695,23,15595005,44,6335722.6,0.093903905,0.14748312,0.69447485,7.395590718,4.708842936,,,,,,1
death,APR 2022,202215,65+,all_types,133,20105405,84,10813995,147,3051093.55,0.661513658,0.776771212,4.817944701,7.283212742,6.202527369,,,,,,1
death,APR 2022,202215,all_ages,all_types,153,63140711,112,71821519,213,40150517.699999996,0.242315928,0.155942121,0.530503745,2.18930612,3.401927214,0.12744295,0.15262018,0.910762489,7.146432859,5.967510247,0
death,APR 2022,202215,all_ages,Janssen,7,3769416,8,6879461,213,40150517.699999996,0.18570516,0.11628818,0.530503745,2.856699006,4.561974779,0.144098397,0.133809091,0.910762489,6.320420675,6.806432075,0
death,APR 2022,202215,all_ages,Moderna,67,25173742,45,23438415,213,40150517.699999996,0.26615034,0.191992505,0.530503745,1.993248419,2.763148207,0.116924228,0.138060439,0.910762489,7.789339316,6.596839027,0
death,APR 2022,202215,all_ages,Pfizer,79,34140212,58,41460547,213,40150517.699999996,0.23139868,0.139892028,0.530503745,2.292596243,3.792237146,0.137309023,0.168035208,0.910762489,6.63293983,5.420069416,0
death,APR 2022,202216,12-17,all_types,0,2341917,0,7334889,0,6231807,0,0,0,,,,,,,,0
death,APR 2022,202216,18-49,all_types,3,23823470,7,37988138,14,24447858.55,0.0125926,0.0184268,0.0572647,4.547481863,3.107686338,,,,,,1
death,APR 2022,202216,50-64,all_types,26,17160893,13,15510664,29,6314802.6,0.151507267,0.083813304,0.459238425,3.031131336,5.479302235,,,,,,1
death,APR 2022,202216,65+,all_types,192,20314567,108,10685217,146,3025667.55,0.945134592,1.010742225,4.825381427,5.105496578,4.774097005,,,,,,1
death,APR 2022,202216,all_ages,all_types,221,63640847,128,71518908,189,40020135.699999996,0.347261249,0.17897365,0.472262267,1.359962473,2.638725125,0.178733807,0.179769973,0.85166781,4.765006826,4.737542063,0
death,APR 2022,202216,all_ages,Janssen,8,3793644,20,6863435,189,40020135.699999996,0.210879039,0.291399277,0.472262267,2.239493643,1.620670685,0.151162786,0.353055706,0.85166781,5.634110308,2.412276008,0
death,APR 2022,202216,all_ages,Moderna,99,25375259,51,23309331,189,40020135.699999996,0.390143801,0.218796498,0.472262267,1.210482559,2.158454411,0.17441675,0.159656768,0.85166781,4.88294737,5.334367102,0
death,APR 2022,202216,all_ages,Pfizer,114,34414292,57,41303321,189,40020135.699999996,0.331257723,0.138003431,0.472262267,1.425664171,3.422105263,0.184885325,0.171570493,0.85166781,4.606465158,4.963952678,0
death,APR 2022,202217,12-17,all_types,0,2371824,0,7319708,1,6217587,0,0,0.0160834,,,,,,,,0
death,APR 2022,202217,18-49,all_types,6,23954229,10,37915658,23,24381960.55,0.0250478,0.0263743,0.094332037,3.766085353,3.576661246,,,,,,1
death,APR 2022,202217,50-64,all_types,17,17280216,24,15429122,25,6294274.6,0.0983784,0.155550005,0.397186357,4.037332968,2.553431985,,,,,,1
death,APR 2022,202217,65+,all_types,246,20519834,130,10563448,213,3003110.7,1.198840108,1.230658777,7.092645636,5.916256547,5.763291797,,,,,,1
death,APR 2022,202217,all_ages,all_types,269,64126103,164,71227936,262,39896932.85,0.419485962,0.230246739,0.656692085,1.56546856,2.852123279,0.214833448,0.230786451,1.208915381,5.627221434,5.238242435,0
death,APR 2022,202217,all_ages,Janssen,10,3817223,13,6847900,262,39896932.85,0.261970548,0.189839221,0.656692085,2.506740129,3.459201327,0.206409024,0.234142125,1.208915381,5.856892097,5.163169075,0
death,APR 2022,202217,all_ages,Moderna,107,25567788,54,23187717,262,39896932.85,0.418495335,0.232881918,0.656692085,1.569174205,2.819850039,0.181883998,0.175115318,1.208915381,6.646628588,6.903538728,0
death,APR 2022,202217,all_ages,Pfizer,151,34683149,97,41149765,262,39896932.85,0.435369926,0.235724311,0.656692085,1.508354266,2.785847934,0.249627641,0.28795693,1.208915381,4.842874674,4.198250697,0
death,MAY 2022,202218,12-17,all_types,0,2399059,0,7307321,4,6204329,0,0,0.064471114,,,,,,,,0
death,MAY 2022,202218,18-49,all_types,2,24066218,10,37856006,19,24318228.55,0.0083104,0.0264159,0.078130691,9.401551208,2.957715906,,,,,,1
death,MAY 2022,202218,50-64,all_types,16,17383849,26,15358657,40,6274928.6,0.092039456,0.169285635,0.637457453,6.925915061,3.765573217,,,,,,1
death,MAY 2022,202218,65+,all_types,305,20688633,160,10462140,242,2984128,1.474239501,1.529323829,8.109571707,5.500850913,5.302717159,,,,,,1
death,MAY 2022,202218,all_ages,all_types,323,64537759,196,70984124,305,39781614.15,0.500482206,0.27611808,0.766685833,1.531894289,2.776659299,0.24629371,0.278870103,1.403502064,5.698489269,5.03281653,0
death,MAY 2022,202218,all_ages,Janssen,14,3838038,12,6834548,305,39781614.15,0.364769708,0.175578546,0.766685833,2.101835259,4.366625941,0.298243576,0.225206651,1.403502064,4.70589202,6.232063111,0
death,MAY 2022,202218,all_ages,Moderna,130,25728519,82,23087018,305,39781614.15,0.505275877,0.355177962,0.766685833,1.517360849,2.158596297,0.211142025,0.261538316,1.403502064,6.647194303,5.366334407,0
death,MAY 2022,202218,all_ages,Pfizer,179,34912986,101,41020240,305,39781614.15,0.51270321,0.246219915,0.766685833,1.495379428,3.113825435,0.28267204,0.305929677,1.403502064,4.965125186,4.587662363,0
death,MAY 2022,202219,12-17,all_types,0,2421277,0,7300245,1,6188194,0,0,0.0161598,,,,,,,,0
death,MAY 2022,202219,18-49,all_types,8,24174474,13,37799844,32,24255107.55,0.0330928,0.0343917,0.131930976,3.986702421,3.836130994,,,,,,1
death,MAY 2022,202219,50-64,all_types,34,17482649,28,15291248,46,6255739.6,0.194478537,0.18311128,0.735324725,3.781007078,4.015725974,,,,,,1
death,MAY 2022,202219,65+,all_types,365,20840024,198,10369267,299,2965843,1.751437522,1.909488877,10.081450704,5.756100675,5.279659298,,,,,,1
death,MAY 2022,202219,all_ages,all_types,407,64918424,239,70760604,378,39664884.15,0.626940666,0.337758564,0.952984001,1.520054532,2.821494708,0.321079782,0.343869329,1.74735902,5.44213345,5.081462263,0
death,MAY 2022,202219,all_ages,Janssen,17,3857456,27,6822373,378,39664884.15,0.440704962,0.395756726,0.952984001,2.162408149,2.408004562,0.331333412,0.468163306,1.74735902,5.27371812,3.732370729,0
death,MAY 2022,202219,all_ages,Moderna,167,25878367,108,22992458,378,39664884.15,0.645326654,0.469719244,0.952984001,1.47674669,2.028837465,0.284709645,0.348107938,1.74735902,6.137336936,5.0195897,0
death,MAY 2022,202219,all_ages,Pfizer,223,35124178,103,40903633,378,39664884.15,0.634890303,0.251811373,0.952984001,1.501021511,3.784515324,0.357763731,0.31388945,1.74735902,4.884114477,5.566797542,0
death,MAY 2022,202220,12-17,all_types,0,2445209,0,7289198,1,6172147,0,0,0.0162018,,,,,,,,0
death,MAY 2022,202220,18-49,all_types,7,24280308,12,37745213,28,24187467.55,0.0288299,0.0317921,0.115762429,4.01535348,3.64123129,,,,,,1
death,MAY 2022,202220,50-64,all_types,27,17573810,36,15230546,58,6235145.6,0.153637714,0.236367101,0.930210836,6.054573514,3.935449701,,,,,,1
death,MAY 2022,202220,65+,all_types,378,20971523,250,10290208,326,2947400,1.8024442,2.429494137,11.060595779,6.136442825,4.552633247,,,,,,1
death,MAY 2022,202220,all_ages,all_types,412,65270850,298,70555165,413,39542160.15,0.631215926,0.422364543,1.044454826,1.65467122,2.472875255,0.319070255,0.431397155,1.922962225,6.026767445,4.457521808,0
death,MAY 2022,202220,all_ages,Janssen,22,3876341,32,6810593,413,39542160.15,0.567545528,0.469856296,1.044454826,1.840301393,2.222923977,0.440082185,0.615662301,1.922962225,4.369552533,3.123404213,0
death,MAY 2022,202220,all_ages,Moderna,178,26013285,127,22909550,413,39542160.15,0.684265751,0.55435397,1.044454826,1.5263877,1.884093705,0.282335175,0.411094797,1.922962225,6.810919776,4.677661303,0
death,MAY 2022,202220,all_ages,Pfizer,212,35322581,139,40793061,413,39542160.15,0.600182642,0.340744226,1.044454826,1.740228311,3.065216506,0.344945455,0.42659052,1.922962225,5.57468492,4.507747201,0
death,MAY 2022,202221,12-17,all_types,0,2471166,0,7275917,2,6157298,0,0,0.0324818,,,,,,,,0
death,MAY 2022,202221,18-49,all_types,10,24386654,14,37686624,28,24124089.55,0.041006,0.0371485,0.116066556,2.830474952,3.124397621,,,,,,1
death,MAY 2022,202221,50-64,all_types,31,17664123,41,15169525,64,6214373.6,0.175496966,0.270278733,1.029870492,5.868309372,3.810401508,,,,,,1
death,MAY 2022,202221,65+,all_types,429,21095633,260,10214148,379,2929530,2.033596242,2.545488865,12.937228839,6.361748989,5.082414233,,,,,,1
death,MAY 2022,202221,all_ages,all_types,470,65617576,315,70346214,473,39425291.15,0.716271506,0.447785292,1.199737494,1.674975876,2.679269539,0.365148943,0.458249948,2.229223396,6.104970145,4.864645175,0
death,MAY 2022,202221,all_ages,Janssen,16,3895206,24,6797434,473,39425291.15,0.410761331,0.35307441,1.199737494,2.920765428,3.397973513,0.34815586,0.470399916,2.229223396,6.402946639,4.738996163,0
death,MAY 2022,202221,all_ages,Moderna,197,26145380,127,22825903,473,39425291.15,0.7534792,0.556385436,1.199737494,1.592263588,2.15630643,0.320816411,0.413106045,2.229223396,6.948595272,5.396249757,0
death,MAY 2022,202221,all_ages,Pfizer,255,35518162,163,40681090,473,39425291.15,0.717942556,0.400677563,1.199737494,1.671077281,2.994271716,0.407413078,0.496869445,2.229223396,5.471653992,4.486537494,0
death,JUN 2022,202222,12-17,all_types,1,2501945,0,7258126,2,6144183,0.0399689,0,0.0325511,0.814410964,,,,,,,0
death,JUN 2022,202222,18-49,all_types,11,24498181,13,37623286,24,24072400.55,0.0449013,0.0345531,0.099699238,2.220409079,2.885394583,,,,,,1
death,JUN 2022,202222,50-64,all_types,44,17760776,27,15103908,67,6198385.6,0.247736923,0.178761682,1.080926621,4.363203541,6.046746753,,,,,,1
death,JUN 2022,202222,65+,all_types,473,21221030,258,10136744,410,2916826,2.228921028,2.545195972,14.056374977,6.306358459,5.522708322,,,,,,1
death,JUN 2022,202222,all_ages,all_types,529,65981932,298,70122064,503,39331795.15,0.801734632,0.42497323,1.278863571,1.595120778,3.009280308,0.414374331,0.440175076,2.400038313,5.791957013,5.452462992,1
death,JUN 2022,202222,all_ages,Janssen,20,3914031,26,6783961,503,39331795.15,0.510982156,0.38325692,1.278863571,2.502755831,3.336830996,0.411685706,0.522301461,2.400038313,5.829782962,4.595120807,1
death,JUN 2022,202222,all_ages,Moderna,237,26282652,120,22738664,503,39331795.15,0.901735487,0.527735491,1.278863571,1.418224734,2.423304087,0.396338056,0.399387132,2.400038313,6.055533344,6.009303054,1
death,JUN 2022,202222,all_ages,Pfizer,271,35726209,152,40557845,503,39331795.15,0.758546758,0.374773364,1.278863571,1.685939012,3.412365164,0.433885924,0.474413772,2.400038313,5.531496133,5.058955822,1
death,JUN 2022,202223,5-11,all_types,0,109923,0,5169670,1,12978985,0,0,0.00770476,,,,,,,,0
death,JUN 2022,202223,12-17,all_types,1,2539246,1,7234541,1,6130325,0.0393818,0.0138226,0.0163123,0.414210666,1.180123566,,,,,,0
death,JUN 2022,202223,18-49,all_types,13,24610678,13,37557640,24,24012506.55,0.0528226,0.0346135,0.099947917,1.892143069,2.887544513,,,,,,1
death,JUN 2022,202223,50-64,all_types,38,17858183,38,15038931,76,6180152.600000001,0.212787606,0.252677534,1.229743097,5.779204546,4.866847786,,,,,,1
death,JUN 2022,202223,65+,all_types,534,21338057,295,10066542,401,2901945,2.502570876,2.930499868,13.818318404,5.521649171,4.715345172,,,,,,1
death,JUN 2022,202223,all_ages,all_types,586,66456087,347,75067324,503,52203914.150000006,0.881785291,0.462251725,0.963529284,1.092702831,2.084425502,0.404134651,0.457186231,2.126626916,5.262174159,4.651555042,1
death,JUN 2022,202223,all_ages,Janssen,22,3933466,33,6770234,503,52203914.150000006,0.559303169,0.487427761,0.963529284,1.722731671,1.976763247,0.403676193,0.555253805,2.126626916,5.268150445,3.830008721,1
death,JUN 2022,202223,all_ages,Moderna,241,26413787,143,22657878,503,52203914.150000006,0.9124023,0.631127063,0.963529284,1.056035571,1.526680347,0.354975027,0.422790473,2.126626916,5.990919789,5.029978322,1
death,JUN 2022,202223,all_ages,Pfizer,322,36049591,171,45596283,503,52203914.150000006,0.893214017,0.37503057,0.963529284,1.078721633,2.569201982,0.451513813,0.479656944,2.126626916,4.709993038,4.433641462,1
death,JUN 2022,202224,5-11,all_types,0,190566,0,5111833,1,12951741,0,0,0.00772097,,,,,,,,0
death,JUN 2022,202224,12-17,all_types,0,2575967,0,7210158,0,6115512,0,0,0,,,,,,,,0
death,JUN 2022,202224,18-49,all_types,12,24701212,16,37507817,33,23957008.55,0.0485806,0.0426578,0.137746747,2.835426337,3.229112366,,,,,,1
death,JUN 2022,202224,50-64,all_types,47,17931427,41,14989575,80,6164264.600000001,0.262109647,0.273523432,1.297802823,4.951373741,4.744759208,,,,,,1
death,JUN 2022,202224,65+,all_types,514,21418235,312,10016287,435,2890026,2.399824262,3.114926719,15.0517677,6.27202914,4.832141832,,,,,,1
death,JUN 2022,202224,all_ages,all_types,573,66817407,369,74835670,549,52078552.150000006,0.857560965,0.493080372,1.054176772,1.229273271,2.137941058,0.392369316,0.488333837,2.322472315,5.91909769,4.755911099,1
death,JUN 2022,202224,all_ages,Janssen,22,3947769,33,6759756,549,52078552.150000006,0.557276781,0.488183301,1.054176772,1.891657446,2.1593872,0.415705442,0.580737548,2.322472315,5.586822016,3.999177117,1
death,JUN 2022,202224,all_ages,Moderna,255,26511398,157,22595474,549,52078552.150000006,0.961850446,0.694829416,1.054176772,1.095988234,1.517173493,0.368496978,0.471332573,2.322472315,6.30255458,4.927459822,1
death,JUN 2022,202224,all_ages,Pfizer,295,36298756,178,45437497,549,52078552.150000006,0.812700028,0.391746931,1.054176772,1.297128998,2.690963703,0.415487641,0.495668294,2.322472315,5.58975066,4.685537371,1
death,JUN 2022,202225,5-11,all_types,0,273866,0,5052990,3,12924187,0,0,0.0232123,,,,,,,,0
death,JUN 2022,202225,12-17,all_types,0,2616147,0,7183217,0,6101927,0,0,0,,,,,,,,0
death,JUN 2022,202225,18-49,all_types,5,24798784,10,37454792,50,23905475.75,0.0201623,0.0266989,0.209157101,10.373683527,7.833935704,,,,,,1
death,JUN 2022,202225,50-64,all_types,60,18009128,47,14936368,77,6149242.600000001,0.333164382,0.314668198,1.252186733,3.758465192,3.979387627,,,,,,1
death,JUN 2022,202225,65+,all_types,521,21501758,326,9963102,443,2878993,2.423057687,3.272073296,15.387324665,6.350374879,4.702622244,,,,,,1
death,JUN 2022,202225,all_ages,all_types,586,67199683,383,74590469,573,51959825.35,0.872027923,0.513470427,1.102775069,1.264609814,2.147689546,0.392746988,0.508310614,2.39813219,6.106048585,4.717847954,1
death,JUN 2022,202225,all_ages,Janssen,29,3963817,33,6748557,573,51959825.35,0.731618034,0.488993425,1.102775069,1.507309851,2.255194065,0.490501215,0.546851292,2.39813219,4.889146283,4.385346115,1
death,JUN 2022,202225,all_ages,Moderna,267,26613954,162,22529114,573,51959825.35,1.003233116,0.719069556,1.102775069,1.09922116,1.533613904,0.372047169,0.483762877,2.39813219,6.445774588,4.95724725,1
death,JUN 2022,202225,all_ages,Pfizer,288,36562290,187,45270158,573,51959825.35,0.787696832,0.413075651,1.102775069,1.399999371,2.669668536,0.40246627,0.52531484,2.39813219,5.958591729,4.56513315,1
death,JUN 2022,202226,5-11,all_types,0,340068,0,5011192,1,12897669,0,0,0.00775334,,,,,,,,0
death,JUN 2022,202226,12-17,all_types,0,2653938,0,7157880,1,6088868,0,0,0.0164234,,,,,,,,0
death,JUN 2022,202226,18-49,all_types,12,24888216,15,37408339,54,23855508.75,0.0482156,0.040098,0.22636281,4.694805429,5.645237828,,,,,,1
death,JUN 2022,202226,50-64,all_types,44,18078074,49,14889201,88,6135271.600000001,0.243388759,0.329097579,1.434329329,5.893161763,4.358370956,,,,,,1
death,JUN 2022,202226,65+,all_types,593,21575137,356,9914963,537,2868620,2.748534111,3.590532814,18.719802553,6.810831445,5.21365589,,,,,,1
death,JUN 2022,202226,all_ages,all_types,649,67535433,420,74381575,681,51845937.35,0.960977033,0.564655965,1.313506969,1.366845329,2.32620755,0.436515303,0.5605794,2.888355302,6.616847753,5.152446382,1
death,JUN 2022,202226,all_ages,Janssen,19,3977946,41,6738879,681,51845937.35,0.477633432,0.608409796,1.313506969,2.750031469,2.158918177,0.366894821,0.690093606,2.888355302,7.872434103,4.185454377,1
death,JUN 2022,202226,all_ages,Moderna,299,26705226,189,22470041,681,51845937.35,1.119631042,0.841119961,1.313506969,1.17316055,1.56161669,0.409451466,0.567625382,2.888355302,7.054206773,5.088488632,1
death,JUN 2022,202226,all_ages,Pfizer,331,36792430,190,45129964,681,51845937.35,0.899641584,0.421006319,1.313506969,1.460033631,3.119922221,0.463306416,0.539603704,2.888355302,6.234222546,5.352734383,1
death,JUL 2022,202227,5-11,all_types,0,400143,0,4974197,1,12874043,0,0,0.00776757,,,,,,,,0
death,JUL 2022,202227,12-17,all_types,0,2689423,1,7134293,3,6077810,0,0.0140168,0.0493599,,3.521478789,,,,,,0
death,JUL 2022,202227,18-49,all_types,12,24972286,30,37363186,32,23814344.75,0.0480533,0.080292939,0.134372792,2.796329833,1.673531877,,,,,,1
death,JUL 2022,202227,50-64,all_types,53,18141417,64,14845484,98,6122190.600000001,0.292149174,0.431107534,1.600734221,5.47916736,3.713074104,,,,,,1
death,JUL 2022,202227,65+,all_types,613,21639925,370,9871839,559,2859774,2.832727008,3.748035194,19.546999168,6.900417553,5.215265641,,,,,,1
death,JUL 2022,202227,all_ages,all_types,678,67843194,465,74188999,693,51748162.35,0.999363326,0.626777563,1.339177989,1.340031152,2.136608054,0.455720533,0.619811212,2.984474502,6.548913837,4.815134745,1
death,JUL 2022,202227,all_ages,Janssen,29,3991485,39,6729610,693,51748162.35,0.726546636,0.579528383,1.339177989,1.84320995,2.310806561,0.527434252,0.654302449,2.984474502,5.658476844,4.561307245,1
death,JUL 2022,202227,all_ages,Moderna,326,26787982,226,22415848,693,51748162.35,1.216963637,1.008215259,1.339177989,1.10042564,1.32826594,0.463358967,0.685551118,2.984474502,6.44095553,4.353394555,1
death,JUL 2022,202227,all_ages,Pfizer,321,37003808,200,45001122,693,51748162.35,0.867478288,0.444433363,1.339177989,1.543759663,3.013225604,0.441442869,0.562316488,2.984474502,6.760726505,5.307463978,1
death,JUL 2022,202228,5-11,all_types,0,454691,0,4942561,1,12842971,0,0,0.00778636,,,,,,,,0
death,JUL 2022,202228,12-17,all_types,0,2723464,1,7112176,0,6063945,0,0.0140604,0,,0,,,,,,0
death,JUL 2022,202228,18-49,all_types,16,25052684,23,37321246,52,23759767.75,0.063865413,0.0616271,0.218857358,3.426852647,3.551317088,,,,,,1
death,JUL 2022,202228,50-64,all_types,67,18200834,59,14803596,101,6103953.600000001,0.368115,0.398551811,1.654665265,4.49496833,4.151694253,,,,,,1
death,JUL 2022,202228,65+,all_types,691,21698505,394,9832242,581,2845902,3.184551194,4.007224395,20.415319993,6.410736946,5.094628596,,,,,,1
death,JUL 2022,202228,all_ages,all_types,774,68130178,477,74011821,735,51616539.35,1.13606044,0.644491641,1.423962182,1.253421149,2.209434678,0.523640815,0.640418109,3.148784373,6.013252377,4.916763486,1
death,JUL 2022,202228,all_ages,Janssen,26,4004039,32,6720709,735,51616539.35,0.649344325,0.476140241,1.423962182,2.19292312,2.990636079,0.469147569,0.535307608,3.148784373,6.711714136,5.882196196,1
death,JUL 2022,202228,all_ages,Moderna,358,26865601,219,22363391,735,51616539.35,1.332559059,0.979279037,1.423962182,1.068592174,1.454092376,0.518921926,0.66138563,3.148784373,6.06793472,4.760890216,1
death,JUL 2022,202228,all_ages,Pfizer,389,37200451,224,44885211,735,51616539.35,1.045686247,0.49905079,1.423962182,1.361748981,2.853341205,0.538667797,0.634343684,3.148784373,5.845503275,4.963846024,1
death,JUL 2022,202229,5-11,all_types,0,496047,1,4920904,0,12809183,0,0.0203215,0,,0,,,,,,0
death,JUL 2022,202229,12-17,all_types,0,2751579,0,7093985,3,6049885,0,0,0.0495877,,,,,,,,0
death,JUL 2022,202229,18-49,all_types,20,25121542,23,37286756,38,23708079.75,0.079612947,0.0616841,0.160282909,2.013276921,2.598447711,,,,,,1
death,JUL 2022,202229,50-64,all_types,57,18255061,63,14765056,117,6084886.600000001,0.312242178,0.426683109,1.922796721,6.158030075,4.506381152,,,,,,1
death,JUL 2022,202229,65+,all_types,700,21749683,371,9796653,601,2831461,3.218437712,3.787007665,21.225791208,6.595060431,5.604897874,,,,,,1
death,JUL 2022,202229,all_ages,all_types,777,68373912,458,73863354,759,51483495.35,1.136398339,0.620063909,1.474258876,1.297308194,2.377591818,0.527122245,0.616020638,3.276424996,6.215683409,5.318693549,1
death,JUL 2022,202229,all_ages,Janssen,34,4014738,42,6713586,759,51483495.35,0.846879672,0.62559711,1.474258876,1.740812686,2.356562798,0.619201392,0.666105469,3.276424996,5.291372146,4.9187781,1
death,JUL 2022,202229,all_ages,Moderna,347,26933935,193,22317619,759,51483495.35,1.288337556,0.864787592,1.474258876,1.14431103,1.70476414,0.508690138,0.587583688,3.276424996,6.440905279,5.576099305,1
death,JUL 2022,202229,all_ages,Pfizer,393,37365086,223,44789893,759,51483495.35,1.05178401,0.49788018,1.474258876,1.401674547,2.961071629,0.544917457,0.63188523,3.276424996,6.012699635,5.185158377,1
death,JUL 2022,202230,5-11,all_types,0,545135,0,4894771,1,12774055,0,0,0.0078284,,,,,,,,0
death,JUL 2022,202230,12-17,all_types,0,2786599,0,7069903,0,6035472,0,0,0,,,,,,,,0
death,JUL 2022,202230,18-49,all_types,11,25207882,12,37239463,39,23658679.75,0.0436371,0.0322239,0.164844363,3.77761569,5.115596307,,,,,,1
death,JUL 2022,202230,50-64,all_types,57,18336277,40,14705426,102,6068889.600000001,0.310859178,0.272008441,1.680702842,5.406637346,6.178862819,,,,,,1
death,JUL 2022,202230,65+,all_types,660,21831522,342,9738516,563,2819565,3.02315157,3.511828702,19.967619119,6.604901759,5.685818078,,,,,,1
death,JUL 2022,202230,all_ages,all_types,728,68707415,394,73648079,705,51356661.35,1.059565405,0.534976615,1.372752787,1.295580981,2.566005221,0.482378575,0.53675518,3.065164292,6.354271213,5.710544409,1
death,JUL 2022,202230,all_ages,Janssen,36,4028867,38,6703504,705,51356661.35,0.893551462,0.566867716,1.372752787,1.536288445,2.421645737,0.604402997,0.662970766,3.065164292,5.071391613,4.623377759,1
death,JUL 2022,202230,all_ages,Moderna,325,27035791,175,22246818,705,51356661.35,1.202110195,0.786629351,1.372752787,1.141952537,1.745107509,0.45784007,0.52801223,3.065164292,6.694836245,5.805100935,1
death,JUL 2022,202230,all_ages,Pfizer,367,37582459,179,44655632,705,51356661.35,0.976519392,0.400845295,1.372752787,1.405760908,3.424644876,0.499458667,0.518010794,3.065164292,6.136972873,5.917182285,1
death,AUG 2022,202231,5-11,all_types,0,598862,0,4866989,0,12737803,0,0,0,,,,,,,,0
death,AUG 2022,202231,12-17,all_types,0,2824855,0,7043423,2,6020976,0,0,0.0332172,,,,,,,,0
death,AUG 2022,202231,18-49,all_types,19,25307036,14,37184287,41,23610732.75,0.075077935,0.0376503,0.173649842,2.312927784,4.612175389,,,,,,1
death,AUG 2022,202231,50-64,all_types,41,18430740,49,14639365,89,6054890.600000001,0.222454443,0.334713972,1.469886178,6.607582919,4.391469441,,,,,,1
death,AUG 2022,202231,65+,all_types,558,21930652,379,9669949,549,2809907,2.544383997,3.91935883,19.53801318,7.678877559,4.985002401,,,,,,1
death,AUG 2022,202231,all_ages,all_types,618,69092145,442,73404013,681,51234309.35,0.894457684,0.602146915,1.329187431,1.486026063,2.207413833,0.418870194,0.604904155,2.979485845,7.113148385,4.925550302,1
death,AUG 2022,202231,all_ages,Janssen,28,4045157,34,6690992,681,51234309.35,0.692185742,0.508145877,1.329187431,1.920275657,2.615759548,0.495348322,0.594134789,2.979485845,6.014930733,5.014831487,1
death,AUG 2022,202231,all_ages,Moderna,285,27155272,175,22165592,681,51234309.35,1.049519961,0.789511961,1.329187431,1.266471797,1.683555787,0.416884384,0.536728181,2.979485845,7.14703155,5.551200683,1
death,AUG 2022,202231,all_ages,Pfizer,302,37831210,232,44505129,681,51234309.35,0.798282688,0.521288232,1.329187431,1.66505857,2.549812847,0.422035655,0.672152433,2.979485845,7.059796512,4.432753195,1
death,AUG 2022,202232,5-11,all_types,0,652548,0,4838332,1,12703611,0,0,0.0078718,,,,,,,,0
death,AUG 2022,202232,12-17,all_types,0,2861955,0,7016571,0,6007143,0,0,0,,,,,,,,0
death,AUG 2022,202232,18-49,all_types,5,25388556,13,37138328,36,23564367.75,0.0196939,0.0350043,0.152773036,7.757373554,4.364411628,,,,,,1
death,AUG 2022,202232,50-64,all_types,61,18502613,47,14588796,91,6042770.600000001,0.329683164,0.322165037,1.505931733,4.567815091,4.674410817,,,,,,1
death,AUG 2022,202232,65+,all_types,514,22005849,287,9619469,527,2801610.600000001,2.335742647,2.983532667,18.810608441,8.053373715,6.304810619,,,,,,1
death,AUG 2022,202232,all_ages,all_types,580,69411521,347,73201496,655,51119502.95,0.835596154,0.474034028,1.281311363,1.533409838,2.702994485,0.380096866,0.474499959,2.87388217,7.560920459,6.056654206,1
